Description,Prix/m²,Tél. commercial,Conseiller immobilier,Source
Un terrain de 9ha70A8ca offrant une très belle vue à Tsiafahy- ANTANANARIVO,15 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68716/Vente-Terrain-ANTANANARIVO-TANANARIVE-Un-terrain-de-9ha70A8ca-offrant-une-tres-belle-vue-a-Tsiafahy-ANTANANARIVO.html
Terrain plat de  7149 m2 avec vue dégagée sur Ambohimalaza- Antananarivo,20 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/66381/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-plat-de-7149-m2-avec-vue-degagee-sur-Ambohimalaza-Antananarivo.html
Un terrain de 03Ha 08A 23Ca à Imeritsiatosika Arivonimamo,26 500 Ar,Lalaina RATSIMBAZAFY,(+261) 34 08 583 76,https://www.ofim.mg/68881/Vente-Terrain-ANTANANARIVO-TANANARIVE-Un-terrain-de-03Ha-08A-23Ca-a-Imeritsiatosika-Arivonimamo.html
"Une carrière de granite  de 2ha 20a 21ca, également constructible à Ambatofotsy- Antananarivo",30 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/63145/Vente-Terrain-ANTANANARIVO-TANANARIVE-Une-carriere-de-granite-de-2ha-20a-21ca-egalement-constructible-a-Ambatofotsy-Antananarivo.html
"A vendre, grand terrain de 9958 m2en bord de route principale sur Fenoarivo Morarano- Antananarivo",30 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69638/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-grand-terrain-de-9958-m2en-bord-de-route-principale-sur-Fenoarivo-Morarano-Antananarivo.html
Terrain a vendre a ambohitrabiby,32 520 Ar,,,https://www.ofim.mg/52240/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-a-vendre-a-ambohitrabiby.html
Terrain plat de 5 005 m2 à Anjafikely Imerimandroso- Antananarivo,38 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69498/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-plat-de-5-005-m2-a-Anjafikely-Imerimandroso-Antananarivo.html
Un terrain de 1Ha 53A 09Ca à Analavory Ampefy ( Région Itasy ),47 700 Ar,Lalaina RATSIMBAZAFY,(+261) 34 08 583 76,https://www.ofim.mg/68879/Vente-Terrain-ANTANANARIVO-TANANARIVE-Un-terrain-de-1Ha-53A-09Ca-a-Analavory-Ampefy-Region-Itasy.html
Terrain de 400 m2 dans un lotissement avec belle vue à Ambatomirahavavy- Antananarivo,55 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67143/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-400-m2-dans-un-lotissement-avec-belle-vue-a-Ambatomirahavavy-Antananarivo.html
"A vendre, un terrain de 3Ha55a10Ca, facile d'accès, en bord de route à Antanambao Avaratra-Antananarivo",70 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/56185/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-terrain-de-3Ha55a10Ca-facile-d-acces-en-bord-de-route-a-Antanambao-Avaratra-Antananarivo.html
,0,,,
"A vendre, un terrain de 4HA, arboré avec deux bâtis en dur en bord de route à Manandriana Ifasy - Antananarivo",80 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/56169/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-terrain-de-4HA-arbore-avec-deux-batis-en-dur-en-bord-de-route-a-Manandriana-Ifasy-Antananarivo.html
"Terrain 2141 m2 avec une belle vue, facile d'accès , proche Ambatobe à Antsapandrano Ilafy-Antananarivo",80 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/63721/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-2141-m2-avec-une-belle-vue-facile-d-acces-proche-Ambatobe-a-Antsapandrano-Ilafy-Antananarivo.html
Vente d'un terrain de 3200m2 à quelques mettres de la route principale à ambohidratrimo,80 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/65218/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-d-un-terrain-de-3200m2-a-quelques-mettres-de-la-route-principale-a-ambohidratrimo.html
"Terrain en bord de route de 1ha77a30ca, accessible semi-remorque à Ambatolampy Tsimahafotsy",80 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67167/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-en-bord-de-route-de-1ha77a30ca-accessible-semi-remorque-a-Ambatolampy-Tsimahafotsy.html
A vendre terrain de 10 000 m2 proche de la nouvelle route de Laniera,86 720 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/50283/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-terrain-de-10-000-m2-proche-de-la-nouvelle-route-de-Laniera.html
Terrain de 2 383 m2 prêt à bâtir à Antsampandrano Ilafy-Antananario,90 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/64513/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-2-383-m2-pret-a-batir-a-Antsampandrano-Ilafy-Antananario.html
"A vendre, beau terrain de 1458 m2 , plat, prêt à bâtir à Tsilazaina Alasora- Antananarivo",90 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69622/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-beau-terrain-de-1458-m2-plat-pret-a-batir-a-Tsilazaina-Alasora-Antananarivo.html
Terrain de 1HA 20 CA en bord de route en pavé à Fenoarivo Alakamisy-Antananarivo,95 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/66234/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-1HA-20-CA-en-bord-de-route-en-pave-a-Fenoarivo-Alakamisy-Antananarivo.html
"A vendre, plusieurs lots de terrains dans un lotissement à Antsampandrano - Ilafy",108 680 Ar,,,https://www.ofim.mg/54843/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-plusieurs-lots-de-terrains-dans-un-lotissement-a-Antsampandrano-Ilafy.html
"Terrain 5220 m2, morcellable par lot de 1000 m2 sur la RN7 Ambatofotsy -Antananarivo",126 700 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69261/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-5220-m2-morcellable-par-lot-de-1000-m2-sur-la-RN7-Ambatofotsy-Antananarivo.html
,0,,,
vente d'un  terrain de 13 000m2 dans un quartier résidentiel situé à moins de 15mn D'Ambatobe à Manazary Ilafy,127 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/67134/Vente-Terrain-ANTANANARIVO-TANANARIVE-vente-d-un-terrain-de-13-000m2-dans-un-quartier-residentiel-situe-a-moins-de-15mn-D-Ambatobe-a-Manazary-Ilafy.html
"Grand terrain de 1HA 61A 18 CA, clôturé, en bord de route en pavé à Antsampandrano Ilafy- Antananarivo",135 646 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67507/Vente-Terrain-ANTANANARIVO-TANANARIVE-Grand-terrain-de-1HA-61A-18-CA-cloture-en-bord-de-route-en-pave-a-Antsampandrano-Ilafy-Antananarivo.html
A vendre un terrain de 8 000 m2avec une belle vue à Faliarivo Ampitatafika- Antananarivo,140 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67515/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-terrain-de-8-000-m2avec-une-belle-vue-a-Faliarivo-Ampitatafika-Antananarivo.html
vente de 74 lots de terrain dans une domaine de charme sise à Vontovorona,150 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/68503/Vente-Terrain-ANTANANARIVO-TANANARIVE-vente-de-74-lots-de-terrain-dans-une-domaine-de-charme-sise-a-Vontovorona.html
"Terrain de 2057 m2 sur 2 niveaux, entièrement clôturé à Ivato Soaviniarivo- Antananarivo",152 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67828/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-2057-m2-sur-2-niveaux-entierement-cloture-a-Ivato-Soaviniarivo-Antananarivo.html
"A vendre, un terrain de 11 ha dans la zone industrielle Soavina Tanjombato - Antananarivo",157 500 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/52771/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-terrain-de-11-ha-dans-la-zone-industrielle-Soavina-Tanjombato-Antananarivo.html
Beau terrain plat prêt à bâtir de 8000m2 avec vue sur lac à Ambohidratrimo,164 400 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/67684/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-plat-pret-a-batir-de-8000m2-avec-vue-sur-lac-a-Ambohidratrimo.html
"A vendre, un beau terrain de 1182 m2 avec magnifique vue à Ivato - Antananarivo",200 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/56394/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-beau-terrain-de-1182-m2-avec-magnifique-vue-a-Ivato-Antananarivo.html
A vendre terrain de 700 M2 à Andranomena Ambohimanarina,220 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/52805/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-terrain-de-700-M2-a-Andranomena-Ambohimanarina.html
"A vendre, un beau terrain de 1930 m2 dans le quartier résidentiel d'Andohanimandroseza",224 664 Ar,,,https://www.ofim.mg/54257/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-beau-terrain-de-1930-m2-dans-le-quartier-residentiel-d-Andohanimandroseza.html
,0,,,
"Beau terrain de 900 m2 avec une vue dégagée, quartier résidentiel à Tsiadana-Antananarivo",227 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68133/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-900-m2-avec-une-vue-degagee-quartier-residentiel-a-Tsiadana-Antananarivo.html
"Terrain de 1 580 m2 , entièrement clôturé à Alarosa-Antananarivo",300 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/63143/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-1-580-m2-entierement-cloture-a-Alarosa-Antananarivo.html
En vente un terrain de 1073m2 légèrement en pente sur Ambolonkandrina,300 000 Ar,Jacky RASOLOARIVONY,(+261) 34 02 443 04,https://www.ofim.mg/69132/Vente-Terrain-ANTANANARIVO-TANANARIVE-En-vente-un-terrain-de-1073m2-legerement-en-pente-sur-Ambolonkandrina.html
"VENTE DE TERRAIN, clôturé de 1044m2 dans le quartier très prisé d'AMBOHIJANAKA",305 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/61899/Vente-Terrain-ANTANANARIVO-TANANARIVE-VENTE-DE-TERRAIN-cloture-de-1044m2-dans-le-quartier-tres-prise-d-AMBOHIJANAKA.html
A vendre grand terrain de 3000 m2 à Ivato dans un quartier residentiel,350 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/55640/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-grand-terrain-de-3000-m2-a-Ivato-dans-un-quartier-residentiel.html
Terrain de 1473 m2 au bord de la RN4 sis à Talatamaty- Antananarivo,350 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69339/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-1473-m2-au-bord-de-la-RN4-sis-a-Talatamaty-Antananarivo.html
"A vendre beau terrain de 22 000 m2 accessible semi-remorque, entièrement clôturé, prêt à bâtir à Ivato- Antananarivo",371 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/39081/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-beau-terrain-de-22-000-m2-accessible-semi-remorque-entierement-cloture-pret-a-batir-a-Ivato-Antananarivo.html
"Beau terrain de 1000 m2 plat, prêt à bâtir sur Ambatomaro-Antananarivo",375 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69337/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-1000-m2-plat-pret-a-batir-sur-Ambatomaro-Antananarivo.html
Terrain de 2 200 m2 avec une une belle vue sis à Masinandrina Ambatobe- Antananarivo,440 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65591/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-2-200-m2-avec-une-une-belle-vue-sis-a-Masinandrina-Ambatobe-Antananarivo.html
Vente d'un terrain de 1400m2 avec belle vue à fort voyron,477 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/64929/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-d-un-terrain-de-1400m2-avec-belle-vue-a-fort-voyron.html
,0,,,
EXCPETIONNEL à 10 mn du centre ville terrain de 80 000 m2,500 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/64844/Vente-Terrain-ANTANANARIVO-TANANARIVE-EXCPETIONNEL-a-10-mn-du-centre-ville-terrain-de-80-000-m2.html
Terrain de 630 m2 avec un magnifique vue à 10 min d'Ambatobe- Antananarivo,585 360 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67315/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-630-m2-avec-un-magnifique-vue-a-10-min-d-Ambatobe-Antananarivo.html
Beau terrain de 2 200 m2 avec une vue imprenable sur la Tanà à Fort Voyron- Atananarivo,650 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68550/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-2-200-m2-avec-une-vue-imprenable-sur-la-Tana-a-Fort-Voyron-Atananarivo.html
Vente de 22 lots de terrains dans un lotissement à Ambohitrarahaba,1 044 120 Ar,Lalaina RATSIMBAZAFY,(+261) 34 08 583 76,https://www.ofim.mg/69082/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-de-22-lots-de-terrains-dans-un-lotissement-a-Ambohitrarahaba.html
24 Parcelles viabilisées dans une belle résidence à 5 min d'Androhibe - Antananarivo,1 047 200 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69145/Vente-Terrain-ANTANANARIVO-TANANARIVE-24-Parcelles-viabilisees-dans-une-belle-residence-a-5-min-d-Androhibe-Antananarivo.html
"22  parcelles de terrain disponibles dans un vaste domaine déjà équipé en infrastructures d'eau et d'électricité à Ambohitrarahaba.""",1 050 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/69085/Vente-Terrain-ANTANANARIVO-TANANARIVE-22-parcelles-de-terrain-disponibles-dans-un-vaste-domaine-deja-equipe-en-infrastructures-d-eau-et-d-electricite-a-Ambohitrarahaba.html
"Occasion rare terrain à vendre 574m2 sur Ivandry à deux pas de l'école française Claire Fontaine, accessible",1 500 000 Ar,Jacky RASOLOARIVONY,(+261) 34 02 443 04,https://www.ofim.mg/69186/Vente-Terrain-ANTANANARIVO-TANANARIVE-Occasion-rare-terrain-a-vendre-574m2-sur-Ivandry-a-deux-pas-de-l-ecole-francaise-Claire-Fontaine-accessible.html
"Terrain de 400 m2, plat prêt à bâtir au prix de  22 000 000 Ar seulement à Ambatomirahavavy- Antananarivo",22 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68308/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-400-m2-plat-pret-a-batir-au-prix-de-22-000-000-Ar-seulement-a-Ambatomirahavavy-Antananarivo.html
Terrain de 1450m2 à 2 KM de la RN1 à Alakamisy fenoarivo,24 000 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/65684/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-1450m2-a-2-KM-de-la-RN1-a-Alakamisy-fenoarivo.html
En vente un terrain d' environ 1 350m2 à Imeritsiatosika,29 700 000 Ar,Lalaina RATSIMBAZAFY,(+261) 34 08 583 76,https://www.ofim.mg/68922/Vente-Terrain-ANTANANARIVO-TANANARIVE-En-vente-un-terrain-d-environ-1-350m2-a-Imeritsiatosika.html
,0,,,
Beau terrain de 552 m2 dans un lotissement à Ambatomirahavavy- Antananarivo,30 360 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68310/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-552-m2-dans-un-lotissement-a-Ambatomirahavavy-Antananarivo.html
02 terrains de 554m2 et 1050m2 à 200m de la  cure Vontovorona,31 024 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/65688/Vente-Terrain-ANTANANARIVO-TANANARIVE-02-terrains-de-554m2-et-1050m2-a-200m-de-la-cure-Vontovorona.html
A vendre un terrain de 345 m2 dans un lotissment à Ilafy Antsampandrano,37 494 600 Ar,,,https://www.ofim.mg/54844/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-terrain-de-345-m2-dans-un-lotissment-a-Ilafy-Antsampandrano.html
Terrain de 304 m2 en bord de route principale à Antsampandrano Ilafy- Antananarivo,43 600 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67505/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-304-m2-en-bord-de-route-principale-a-Antsampandrano-Ilafy-Antananarivo.html
"Beau terrain de 800 m2, plat prêt à bâtir sur Ampitatafika- Antananarivo",60 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65388/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-800-m2-plat-pret-a-batir-sur-Ampitatafika-Antananarivo.html
"Terrain plat, prêt à bâtir de 503 m2 dans un lotissement à Beravina- Ilafy",75 450 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68547/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-plat-pret-a-batir-de-503-m2-dans-un-lotissement-a-Beravina-Ilafy.html
"Terrain 428 m2 plat , prêt à bâtir à Ambohitrimanjaka Pagode Antananarivo",76 160 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69076/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-428-m2-plat-pret-a-batir-a-Ambohitrimanjaka-Pagode-Antananarivo.html
OFIM Immobilier offre en vente un terrain plat de 500m2 prêt à bâtir sur Manazary Ilafy à 15min d'Ambatobe. Accessible voiture et prêt à bâtir. Facilité de paiement possible.,84 000 000 Ar,Perelle LOCK CHIOU,(+261) 34 98 671 11,https://www.ofim.mg/69336/Vente-Terrain-ANTANANARIVO-TANANARIVE-OFIM-Immobilier-offre-en-vente-un-terrain-plat-de-500m2-pret-a-batir-sur-Manazary-Ilafy-a-15min-d-Ambatobe-Accessible-voiture-et-pret-a-batir-Facilite-de-paiement-possible.html
Terrain de 384 m2 dans un lotissement résidentiel à Rangaina Ilafy,89 600 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67102/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-384-m2-dans-un-lotissement-residentiel-a-Rangaina-Ilafy.html
Terrain en bord de route avec une belle vue sis à Ambohimalaza- Antananarivo,90 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/66880/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-en-bord-de-route-avec-une-belle-vue-sis-a-Ambohimalaza-Antananarivo.html
,0,,,
Beau terrain de 1000 m2 dans un lotissement clôturé à Ambohimanga- Antananarivo,96 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65242/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-1000-m2-dans-un-lotissement-cloture-a-Ambohimanga-Antananarivo.html
Terrain 750 m2 en bord de route à Antsampandrano Ilafy- Antananarivo,107 520 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67499/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-750-m2-en-bord-de-route-a-Antsampandrano-Ilafy-Antananarivo.html
A vendre terrain de 500 m2 à manazary ilafy à 5 minutes du lycée francais,110 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/50924/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-terrain-de-500-m2-a-manazary-ilafy-a-5-minutes-du-lycee-francais.html
A vendre plusieurs lots de terrains de 500 m2 aménagé  à 10 minutes du lycée francais,110 000 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/57023/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-plusieurs-lots-de-terrains-de-500-m2-amenage-a-10-minutes-du-lycee-francais.html
Terrain a vendre 2517 m2 sis Manarintsoa Vontovorona pres Complexe Sportif Cnaps,115 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/51837/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-a-vendre-2517-m2-sis-Manarintsoa-Vontovorona-pres-Complexe-Sportif-Cnaps.html
