Description,Prix/m²,Tél. commercial,Conseiller immobilier,Source
Vente d'un terrain de 1182m2 situé à 10mn de soavina à Bevalala,118 200 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/65488/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-d-un-terrain-de-1182m2-situe-a-10mn-de-soavina-a-Bevalala.html
Beau terrain de 727 m2 dans un lotissement résidentiel à Antsampandrano Ilafy- Antananarivo,124 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67461/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-727-m2-dans-un-lotissement-residentiel-a-Antsampandrano-Ilafy-Antananarivo.html
Vente d'un terrain de 1200m2 à Rangaina Ilafy,132 000 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/67486/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-d-un-terrain-de-1200m2-a-Rangaina-Ilafy.html
Lot de 77 parcelles dans une résidence sécurisée à Ambihijanaka- Antananarivo,140 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65460/Vente-Terrain-ANTANANARIVO-TANANARIVE-Lot-de-77-parcelles-dans-une-residence-securisee-a-Ambihijanaka-Antananarivo.html
Beau terrain de 634 m2 entièrement clôturé et viabilisé à Manjaka Ilafy- Antananarivo,145 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/63614/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-634-m2-entierement-cloture-et-viabilise-a-Manjaka-Ilafy-Antananarivo.html
,0,,,
Lot de 77 parcelles de terrains dans une résidence sécurisée à Ambohijanaka- Antananarivo,145 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65561/Vente-Terrain-ANTANANARIVO-TANANARIVE-Lot-de-77-parcelles-de-terrains-dans-une-residence-securisee-a-Ambohijanaka-Antananarivo.html
Lot de 77 parcelles de terrains dans une résidence sécurisé à Ambohijanaka- Antananarivo,150 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65461/Vente-Terrain-ANTANANARIVO-TANANARIVE-Lot-de-77-parcelles-de-terrains-dans-une-residence-securise-a-Ambohijanaka-Antananarivo.html
a vendre beau terrain de 1680Mé sur la RN3,158 222 600 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/65324/Vente-Terrain-ANTANANARIVO-TANANARIVE-a-vendre-beau-terrain-de-1680Me-sur-la-RN3.html
A vendre terrain de 4160 m2 à Tsimahandry - Ambohidratrimo,161 325 000 Ar,,,https://www.ofim.mg/60434/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-terrain-de-4160-m2-a-Tsimahandry-Ambohidratrimo.html
"Terrain plat, prêt à bâtir de 680 m2, accessible voiture à Itasoy- Antananarivo",170 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68214/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-plat-pret-a-batir-de-680-m2-accessible-voiture-a-Itasoy-Antananarivo.html
A vendre un magnifique terrain de 1 ha pour résidence secondaire à belanitra ivato,173 000 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/46869/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-magnifique-terrain-de-1-ha-pour-residence-secondaire-a-belanitra-ivato.html
"Terrain de 1240 m2, en bord de route en pavé, à Ilafy Antsampandrano-Antananarivo",175 872 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67500/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-1240-m2-en-bord-de-route-en-pave-a-Ilafy-Antsampandrano-Antananarivo.html
vente d'un terrain de 1640m2 à Iavoloha Bonngatsra,184 500 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/66903/Vente-Terrain-ANTANANARIVO-TANANARIVE-vente-d-un-terrain-de-1640m2-a-Iavoloha-Bonngatsra.html
Vente d'une propriété de 2843m2 à Lazaina Ambohidahy,199 010 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/65243/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-d-une-propriete-de-2843m2-a-Lazaina-Ambohidahy.html
à vendre terrain de 2075M2 à ambatomena Ahi/trimo,207 500 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/67132/Vente-Terrain-ANTANANARIVO-TANANARIVE-a-vendre-terrain-de-2075M2-a-ambatomena-Ahi-trimo.html
,0,,,
Tres beau terrain de 4236 m2 à Ambohijanaka Amboanjobe,210 000 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/61627/Vente-Terrain-ANTANANARIVO-TANANARIVE-Tres-beau-terrain-de-4236-m2-a-Ambohijanaka-Amboanjobe.html
Un beau terrain de 2930m2 avec vue sur lac à Vontovorona Antananarivo,229 712 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/66735/Vente-Terrain-ANTANANARIVO-TANANARIVE-Un-beau-terrain-de-2930m2-avec-vue-sur-lac-a-Vontovorona-Antananarivo.html
a vendre terrain de 3900M2 andakana ambohidratrimo,234 000 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/66816/Vente-Terrain-ANTANANARIVO-TANANARIVE-a-vendre-terrain-de-3900M2-andakana-ambohidratrimo.html
un beau terrain de 6280m2 avec vue imprenable sur le Rova à Ankadiefajoro,241 246 040 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/67660/Vente-Terrain-ANTANANARIVO-TANANARIVE-un-beau-terrain-de-6280m2-avec-vue-imprenable-sur-le-Rova-a-Ankadiefajoro.html
terrain de 3.975 m2 dans un quartier résidentiel près du Rova d'ilafy,250 000 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/62303/Vente-Terrain-ANTANANARIVO-TANANARIVE-terrain-de-3-975-m2-dans-un-quartier-residentiel-pres-du-Rova-d-ilafy.html
Terrain 879 m2 - Clôturé - Ambatobe Masinandriana,250 000 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/64285/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-879-m2-Cloture-Ambatobe-Masinandriana.html
"Beau terrain de 480 m2, avec une magnifique vue à 10 min d'Ambatobe sur Ambohibe Ilafy",257 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69087/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-480-m2-avec-une-magnifique-vue-a-10-min-d-Ambatobe-sur-Ambohibe-Ilafy.html
vente d'un terrain entièrement clôturé d'une superficie de 588m2 en bord de la route principale,257 310 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/69562/Vente-Terrain-ANTANANARIVO-TANANARIVE-vente-d-un-terrain-entierement-cloture-d-une-superficie-de-588m2-en-bord-de-la-route-principale.html
Terrain de 453 m2 avec vue imprenable sur Ambohidratrimo,270 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69077/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-453-m2-avec-vue-imprenable-sur-Ambohidratrimo.html
"Terrain plat, prêt à bâtir, clôturé, de 1213 m2 à Amborompotsy Talatamaty- Antananarivo",289 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68192/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-plat-pret-a-batir-cloture-de-1213-m2-a-Amborompotsy-Talatamaty-Antananarivo.html
,0,,,
"A vendre,  terrain de 2100 M2 , belle vue, facile d'accès, exposé Ouest à Manazary- Ilafy - Antananarivo",294 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65213/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-terrain-de-2100-M2-belle-vue-facile-d-acces-expose-Ouest-a-Manazary-Ilafy-Antananarivo.html
terrain prêt à bâtir - 3ha500 - Alakamisy Ambohidratrimo,300 000 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/64209/Vente-Terrain-ANTANANARIVO-TANANARIVE-terrain-pret-a-batir-3ha500-Alakamisy-Ambohidratrimo.html
"Terrain de 616m2 en vente par OFIM Immobilier sur la route de la Francophonie, entre la Digue et Ankazomanga",308 000 000 Ar,Perelle LOCK CHIOU,(+261) 34 98 671 11,https://www.ofim.mg/69631/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-616m2-en-vente-par-OFIM-Immobilier-sur-la-route-de-la-Francophonie-entre-la-Digue-et-Ankazomanga.html
Vente beau  terrain de 800M2 clôturé avec piscine à ivato,315 000 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/67855/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-beau-terrain-de-800M2-cloture-avec-piscine-a-ivato.html
Prix en baisse!!Beau terrain de 1 468 m2 entièrement clôturé à Talatamaty- Antananarivo,323 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67596/Vente-Terrain-ANTANANARIVO-TANANARIVE-Prix-en-baisse-Beau-terrain-de-1-468-m2-entierement-cloture-a-Talatamaty-Antananarivo.html
Terrain de 680 m2 sur le By pass - Antananarivo,328 800 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/66489/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-680-m2-sur-le-By-pass-Antananarivo.html
"Terrain de 500 m2, plat prêt à bâtir, eau et électricité sur place à Fiadanana Fort Voyron- Atananarivo",350 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/66232/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-500-m2-plat-pret-a-batir-eau-et-electricite-sur-place-a-Fiadanana-Fort-Voyron-Atananarivo.html
"Terrain 2 110 m2, plat, prêt à bâtir à Anjomakely Ivato- Antananarivo",378 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67827/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-2-110-m2-plat-pret-a-batir-a-Anjomakely-Ivato-Antananarivo.html
vente d'un terrain de 1400m2 àn Fort Voyron,379 400 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/68493/Vente-Terrain-ANTANANARIVO-TANANARIVE-vente-d-un-terrain-de-1400m2-an-Fort-Voyron.html
"A vendre beau terrain très bien placé et viabilisé , clôturé de 1551 m2 à talatamaty",394 560 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/59943/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-beau-terrain-tres-bien-place-et-viabilise-cloture-de-1551-m2-a-talatamaty.html
,0,,,
"A vendre, un terrain de 1Ha87 en bord de route principale à Moratsiazo Vontovorona",397 410 000 Ar,,,https://www.ofim.mg/54881/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-terrain-de-1Ha87-en-bord-de-route-principale-a-Moratsiazo-Vontovorona.html
Investisseur a vendre terrain de 7 ha Moramanga proche centre ville,400 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/59002/Vente-Terrain-ANTANANARIVO-TANANARIVE-Investisseur-a-vendre-terrain-de-7-ha-Moramanga-proche-centre-ville.html
OFIM Immobilier met en vente quelques terrains dans une belle lotissement prête à bâtir sur Androhibe Ambohitraraba à seulement 10min d'Ivandry. Facilité de paiement ouverte sans interêt.,413 644 000 Ar,Perelle LOCK CHIOU,(+261) 34 98 671 11,https://www.ofim.mg/69083/Vente-Terrain-ANTANANARIVO-TANANARIVE-OFIM-Immobilier-met-en-vente-quelques-terrains-dans-une-belle-lotissement-prete-a-batir-sur-Androhibe-Ambohitraraba-a-seulement-10min-d-Ivandry-Facilite-de-paiement-ouverte-sans-interet.html
"Beau terrain de 1 338 m2, plat, prêt à bâtir, clôturé à Ifarihy By pass- Antanarivo",436 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68622/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-1-338-m2-plat-pret-a-batir-cloture-a-Ifarihy-By-pass-Antanarivo.html
A VENDRE TERRAIN DE 1600 M2  à Ambohijanahary Ambohibao,490 000 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/52564/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-VENDRE-TERRAIN-DE-1600-M2-a-Ambohijanahary-Ambohibao.html
Beau terrain de 1 600 M2 avec vue sur le lac d'Ivato à Ambatolampy Tsimahafotsy- Antananarivo,490 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67878/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-1-600-M2-avec-vue-sur-le-lac-d-Ivato-a-Ambatolampy-Tsimahafotsy-Antananarivo.html
A vendre beau terrain clôture de 4414M2 anosiala,507 610 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/68594/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-beau-terrain-cloture-de-4414M2-anosiala.html
un terrain de 5325m2 en bord de route principale sur la digue,513 756 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/68582/Vente-Terrain-ANTANANARIVO-TANANARIVE-un-terrain-de-5325m2-en-bord-de-route-principale-sur-la-digue.html
"Terrain a de 1100 m2 plat, clôturé, électricité Jirma sis à Ambolokandrina- Antananarivo",517 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68289/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-a-de-1100-m2-plat-cloture-electricite-Jirma-sis-a-Ambolokandrina-Antananarivo.html
A vendre terrain de 1000 m2 clôturé près du Lycée Francais Ambatobé et Leader Price,550 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/54350/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-terrain-de-1000-m2-cloture-pres-du-Lycee-Francais-Ambatobe-et-Leader-Price.html
,0,,,
Terrain de 8 841 m2 entièrement clôturé en bord de la RN3 à Ambohitrabiby- Antananarivo,596 200 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/66095/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-8-841-m2-entierement-cloture-en-bord-de-la-RN3-a-Ambohitrabiby-Antananarivo.html
"A vendre, un grand terrain de 2HA 45 A 63CA à Betsizaraina Ambatomandeha - Antananarivo",600 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65214/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-grand-terrain-de-2HA-45-A-63CA-a-Betsizaraina-Ambatomandeha-Antananarivo.html
vente d'un terrain de 1264m2 en bord de la route by pass,643 200 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/66546/Vente-Terrain-ANTANANARIVO-TANANARIVE-vente-d-un-terrain-de-1264m2-en-bord-de-la-route-by-pass.html
RARE À vendre  Magnifique terrain de 2593 m² avec 25 mètres de façade en bordure de la R N 4,674 180 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/67546/Vente-Terrain-ANTANANARIVO-TANANARIVE-RARE-a-vendre-Magnifique-terrain-de-2593-m-avec-25-metres-de-facade-en-bordure-de-la-R-N-4.html
Domaine de 1HA 70 A 50 CA avec vue sur lac à Mantasoa,698 408 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/63245/Vente-Terrain-ANTANANARIVO-TANANARIVE-Domaine-de-1HA-70-A-50-CA-avec-vue-sur-lac-a-Mantasoa.html
a vendre beau terrain de 2000 M2 morcelable à ivato,710 000 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/66555/Vente-Terrain-ANTANANARIVO-TANANARIVE-a-vendre-beau-terrain-de-2000-M2-morcelable-a-ivato.html
TERRAIN DE 17080 M2 A VENDRE SABOTSY NAMEHANA PRES ESPACE IMAHO,735 000 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/65605/Vente-Terrain-ANTANANARIVO-TANANARIVE-TERRAIN-DE-17080-M2-A-VENDRE-SABOTSY-NAMEHANA-PRES-ESPACE-IMAHO.html
"Terrain de 1243 m2, avec un entrepôt au sous sol de 200 m2 dans le quartier d'Ambolokandrina- Antananarivo",750 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68291/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-1243-m2-avec-un-entrepot-au-sous-sol-de-200-m2-dans-le-quartier-d-Ambolokandrina-Antananarivo.html
Affaire rentable à saisir: terrain de 25 Ha à vendre à Ankazobe,800 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/43878/Vente-Terrain-ANTANANARIVO-TANANARIVE-Affaire-rentable-a-saisir-terrain-de-25-Ha-a-vendre-a-Ankazobe.html
A vendre beau terrain entièrement clôturé de 2 000m2 en bord de route avec vue dégagée à Ambohibao,804 800 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/60224/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-beau-terrain-entierement-cloture-de-2-000m2-en-bord-de-route-avec-vue-degagee-a-Ambohibao.html
,0,,,
vente d'un beau terrain de 3 720m2 sur by pass Alasora,857 600 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/66547/Vente-Terrain-ANTANANARIVO-TANANARIVE-vente-d-un-beau-terrain-de-3-720m2-sur-by-pass-Alasora.html
Une grande propriété de 2 920 M2 à Bongatsara Amboanjobe- Antananarivo,860 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67968/Vente-Terrain-ANTANANARIVO-TANANARIVE-Une-grande-propriete-de-2-920-M2-a-Bongatsara-Amboanjobe-Antananarivo.html
A VENDRE Opportunité Exceptionnelle: Lotissement de 24 Parcelles à Androhibe Ambohitrarahaba,894 740 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/69110/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-VENDRE-Opportunite-Exceptionnelle-Lotissement-de-24-Parcelles-a-Androhibe-Ambohitrarahaba.html
Vente Terrain de 2911m2 à Ivato Ambodirano,1 010 117 000 Ar,,,https://www.ofim.mg/66017/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-Terrain-de-2911m2-a-Ivato-Ambodirano.html
Vente Terrain de 5400m2 Anosy Avaratra Antananarivo,1 080 000 000 Ar,,,https://www.ofim.mg/66046/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-Terrain-de-5400m2-Anosy-Avaratra-Antananarivo.html
Terrain de 13.340m2 à vendre à Ambatoloana,1 115 200 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/65982/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-13-340m2-a-vendre-a-Ambatoloana.html
Exceptionnel beau terrain de 2625 M2 à vendre près de l'aéroport,1 115 625 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/67355/Vente-Terrain-ANTANANARIVO-TANANARIVE-Exceptionnel-beau-terrain-de-2625-M2-a-vendre-pres-de-l-aeroport.html
Une grande propriété de 1 Ha77a  50ca à Ambohimanambola Masindray- Antananarivo,1 200 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/66969/Vente-Terrain-ANTANANARIVO-TANANARIVE-Une-grande-propriete-de-1-Ha77a-50ca-a-Ambohimanambola-Masindray-Antananarivo.html
vente d'une propriété de 789m2   avec une maison F6  à rénover proche de toutes les commodités à ivandry,1 200 000 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/67020/Vente-Terrain-ANTANANARIVO-TANANARIVE-vente-d-une-propriete-de-789m2-avec-une-maison-F6-a-renover-proche-de-toutes-les-commodites-a-ivandry.html
vente d'un terrain de 2307m2 à Ambohibao Ambohijanahary,1 222 710 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/66558/Vente-Terrain-ANTANANARIVO-TANANARIVE-vente-d-un-terrain-de-2307m2-a-Ambohibao-Ambohijanahary.html
,0,,,
Un terrain beau de 828 m2 entièrement clôturé en plein centre ville à Soanierana-Antananarivo,1 236 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67848/Vente-Terrain-ANTANANARIVO-TANANARIVE-Un-terrain-beau-de-828-m2-entierement-cloture-en-plein-centre-ville-a-Soanierana-Antananarivo.html
Un grand terrain de 2ha06a30ca avec maison F5 à étage à Ambolokandrina - Antananarivo,1 590 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67834/Vente-Terrain-ANTANANARIVO-TANANARIVE-Un-grand-terrain-de-2ha06a30ca-avec-maison-F5-a-etage-a-Ambolokandrina-Antananarivo.html
Grand terrain entièrement clôturé de 1ha 53 ca sis à Antsampandrano Ilafy,2 076 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67497/Vente-Terrain-ANTANANARIVO-TANANARIVE-Grand-terrain-entierement-cloture-de-1ha-53-ca-sis-a-Antsampandrano-Ilafy.html
Terrain à vendre en plein centre ville à Soarano avec vue dégagée- Antananarivo,2 200 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69579/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-a-vendre-en-plein-centre-ville-a-Soarano-avec-vue-degagee-Antananarivo.html
,0,,,
